"created,""screenName"",""text""";;;;
"2022-04-27 09:20:27,""B3Y31"",""@PDemokrat Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/FxrEPb6BH5 AHY… https://t.co/brhztUu7nD""";;;;
"2022-04-27 09:16:49,""ategeo"",""RT @SirianaGde: Hahaha...namanya kebijakan """"Pagi Tahu Sore Tempe"""". Padahal anak buah udah bela2in kasih alasan...jadi malu sendiri. Begini…""";;;;
"2022-04-27 09:15:45,""B3Y31"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/FxrEPb6BH5… https://t.co/XFKrCM29OY""";;;;
"2022-04-27 09:09:04,""indoemas2045_"",""@PDemokrat Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/5hdoDZeyDW AHY… https://t.co/baSDbvyy21""";;;;
"2022-04-27 09:07:27,""wanmohguntar"",""@PDemokrat Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/TXPLXLHfFp AHY… https://t.co/jwxpwJhh8q""";;;;
"2022-04-27 09:07:04,""PatiDemokrat"",""@PDemokrat Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/EUl3ldlI63 AHY… https://t.co/o4aa4tX7gN""";;;;
"2022-04-27 08:54:00,""Banjarnegara_PD"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/x6NnfDuD1M… https://t.co/DJgVFYbAUB""";;;;
"2022-04-27 08:52:03,""PDemokratjkt"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/UAB3u2VkuT… https://t.co/8Zbx57XSKi""";;;;
"2022-04-27 08:46:00,""berunsurdelapan"",""Teks-teks Buddhis awal telah merujuk pada akan adanya penurunan Dharma, tetapi gagasan bahwa ada tiga tahap dalam k… https://t.co/SnX4XTp00F""";;;;
"2022-04-27 08:42:44,""AHYm4nt4bb"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/8D4jdpcW96… https://t.co/zyYqADuvYY""";;;;
"2022-04-27 08:34:43,""bakomstracab20"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/vrrFbGNaIr… https://t.co/CFL3a65pjB""";;;;
"2022-04-27 08:34:14,""HardjonoF"",""@Wawat_Kurniawan Pesan kuat ke bang Masinton dan ki Lurah, saya masih ada dan akan tetap tegak tiga periode <U+0001F923><U+0001F923>""";;;;
"2022-04-27 08:33:15,""DPCDEMOKRATKBB"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/jOlQ7x5Aii… https://t.co/FeUoET8l2h""";;;;
"2022-04-27 08:28:17,""bentangnegeri"",""RT @Johan_David70: @bentangnegeri Orasinya menjawab siapa yg bermain dgn wacana tiga periode, koplak tenan <U+0001F602><U+0001F602>""";;;;
"2022-04-27 08:25:16,""Johan_David70"",""@bentangnegeri Orasinya menjawab siapa yg bermain dgn wacana tiga periode, koplak tenan <U+0001F602><U+0001F602>""";;;;
"2022-04-27 08:22:39,""indoemas2045_"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/5hdoDZeyDW… https://t.co/wW1RSeI2Gj""";;;;
"2022-04-27 08:14:51,""SeputarAHY"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/c7Buajbhhq… https://t.co/WtALynf383""";;;;
"2022-04-27 08:14:18,""BakomstraJ"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/RKaswr0Exm… https://t.co/abWn1w4xpF""";;;;
"2022-04-27 08:13:51,""demokratblora"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/rQ539NqamU… https://t.co/ZSsasQ1RDT""";;;;
"2022-04-27 08:12:10,""Tinoheidel"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/sQOyDZsgti… https://t.co/HBVii0Xl5n""";;;;
"2022-04-27 08:12:02,""mbois_man75"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/zNKmZvJCE3… https://t.co/FQUg3LikAi""";;;;
"2022-04-27 08:11:39,""Puji17si"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/FmNNZojf8L… https://t.co/5s5bLURAmv""";;;;
"2022-04-27 08:10:48,""ekojhones7"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/4qtJ6iME89… https://t.co/c6f1tLOvLn""";;;;
"2022-04-27 08:10:00,""loyalisahy"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/pDPSRoOJ2t… https://t.co/BK5ZEmYDuy""";;;;
"2022-04-27 08:09:09,""redyhard"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/c4j8UAy6hZ… https://t.co/yvvIhWqVtz""";;;;
"2022-04-27 08:08:55,""Tinoheidel"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/sQOyDZsgti… https://t.co/oQG8z5EqfN""";;;;
"2022-04-27 08:08:36,""alimuhsuharli"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/Q9z82axEfS… https://t.co/4lK1l0yXW9""";;;;
"2022-04-27 08:07:15,""AHY_Pekalongan"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/A2w77k5cl4… https://t.co/LkBfwWLG8g""";;;;
"2022-04-27 08:05:36,""AHY_UntukSemua"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/Hi5NGZ1XV8… https://t.co/yDBdyCh4Ha""";;;;
"2022-04-27 08:04:56,""PatiBakomstra"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/XXbzj4rpAx… https://t.co/qAD6J0nxxQ""";;;;
"2022-04-27 08:04:36,""wanmohguntar"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/TXPLXLHfFp… https://t.co/luC91XBjbC""";;;;
"2022-04-27 08:04:28,""macanutara_"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/5rneo4HJyD… https://t.co/iLAt5hOkil""";;;;
"2022-04-27 08:02:56,""WonogiriPD"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/oGKWOXscOa… https://t.co/p6lCHPcVCA""";;;;
"2022-04-27 08:02:44,""Riotama_didik"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/UPGJL5diSW… https://t.co/lH75XxB3Cp""";;;;
"2022-04-27 06:56:21,""kpubandungbarat"",""#TemanPemilih, inilah infografis Rekapitulasi Pemutakhiran Daftar Pemilih Berkelanjutan Periode Bulan April Tahun 2… https://t.co/VSo8aVT9QT""";;;;
"2022-04-27 06:41:13,""kompascom"",""Archied menilai, kondisi pasar properti di tiga bulan pertama tahun ini lebih kondusif dibandingkan periode yang sa… https://t.co/8U7MpMBcat""";;;;
"2022-04-27 06:11:27,""Parbagashuta"",""@GunRomli @jokowi @KPK_RI Dukung kedua2nya.";;;;
"Jokowi tiga periode?""";;;;
"2022-04-27 05:56:55,""akhirrzaman78"",""RT @SirianaGde: Hahaha...namanya kebijakan """"Pagi Tahu Sore Tempe"""". Padahal anak buah udah bela2in kasih alasan...jadi malu sendiri. Begini…""";;;;
"2022-04-27 05:53:39,""nugrohosudarso1"",""RT @SirianaGde: Hahaha...namanya kebijakan """"Pagi Tahu Sore Tempe"""". Padahal anak buah udah bela2in kasih alasan...jadi malu sendiri. Begini…""";;;;
"2022-04-27 05:46:02,""Udingaok81"",""RT @SirianaGde: Hahaha...namanya kebijakan """"Pagi Tahu Sore Tempe"""". Padahal anak buah udah bela2in kasih alasan...jadi malu sendiri. Begini…""";;;;
"2022-04-27 05:43:58,""adhirachdian"",""@opticmacca @eddy_soeparno @Official_PAN  coba cari muka biar elektabilitas tambah naik, padahal salah satu begal p… https://t.co/T53OfEnW1l""";;;;
"2022-04-27 05:42:09,""adamdarmawan32"",""RT @SirianaGde: Hahaha...namanya kebijakan """"Pagi Tahu Sore Tempe"""". Padahal anak buah udah bela2in kasih alasan...jadi malu sendiri. Begini…""";;;;
"2022-04-27 05:41:25,""SirianaGde"",""RT @SirianaGde: Hahaha...namanya kebijakan """"Pagi Tahu Sore Tempe"""". Padahal anak buah udah bela2in kasih alasan...jadi malu sendiri. Begini…""";;;;
"2022-04-27 05:31:35,""SAYA1065947"",""RT @SirianaGde: Hahaha...namanya kebijakan """"Pagi Tahu Sore Tempe"""". Padahal anak buah udah bela2in kasih alasan...jadi malu sendiri. Begini…""";;;;
"2022-04-27 05:30:43,""xo_antixo"",""RT @SirianaGde: Hahaha...namanya kebijakan """"Pagi Tahu Sore Tempe"""". Padahal anak buah udah bela2in kasih alasan...jadi malu sendiri. Begini…""";;;;
"2022-04-27 05:27:00,""kabildjafar"",""RT @SirianaGde: Hahaha...namanya kebijakan """"Pagi Tahu Sore Tempe"""". Padahal anak buah udah bela2in kasih alasan...jadi malu sendiri. Begini…""";;;;
"2022-04-27 04:58:14,""WF10051729"",""RT @SirianaGde: Hahaha...namanya kebijakan """"Pagi Tahu Sore Tempe"""". Padahal anak buah udah bela2in kasih alasan...jadi malu sendiri. Begini…""";;;;
"2022-04-27 03:52:31,""ETN_indonesia"",""@conan_idn @Dennysiregar7 Mereka takut warga petani sawit udah teriak2 makanya keluar berita baru lagi, kyk kmren k… https://t.co/vm81rfA7ur""";;;;
"2022-04-27 03:48:19,""ramadhanfnu"",""@aniesfor2024 2024 sdh di setting...lihat ketua KPU nya....preident tresholdnya di kunci MK...issue issue tiga peri… https://t.co/aWjzdHEH0d""";;;;
"2022-04-27 03:28:08,""dinodachi03"",""RT @MardaniAliSera: Semua isu yg sdh masuk ruang publik mesti dibuka. Jk benar berbahaya sekali cara kerja oligarki ini. Saya belum dengar…""";;;;
"2022-04-27 03:07:05,""the_schloss"",""RT @SirianaGde: Hahaha...namanya kebijakan """"Pagi Tahu Sore Tempe"""". Padahal anak buah udah bela2in kasih alasan...jadi malu sendiri. Begini…""";;;;
"2022-04-27 02:51:48,""PutraWadapi2"",""RT @SirianaGde: Hahaha...namanya kebijakan """"Pagi Tahu Sore Tempe"""". Padahal anak buah udah bela2in kasih alasan...jadi malu sendiri. Begini…""";;;;
"2022-04-27 02:03:11,""MikailPat"",""RT @Mythicalforest: Astaga! Benar-benar valid!";;;;
;;;;
Tukang bangunan sekarang udah pada bawa palu, para petani bawa-bawa arit. ;;;;
;;;;
"Ngeri! Mereka m…""";;;;
"2022-04-27 01:45:46,""Aarimbey"",""RT @Mythicalforest: Wajar saja Luhut paling depan gembar-gembor Jokowi tiga periode. Kapan lagi ia bisa menikmati jabatan strategis di pos…""";;;;
"2022-04-27 01:28:08,""Tjawa72"",""RT @MardaniAliSera: Semua isu yg sdh masuk ruang publik mesti dibuka. Jk benar berbahaya sekali cara kerja oligarki ini. Saya belum dengar…""";;;;
"2022-04-27 01:12:55,""saikekel"",""RT @Mythicalforest: Astaga! Benar-benar valid!";;;;
;;;;
Tukang bangunan sekarang udah pada bawa palu, para petani bawa-bawa arit. ;;;;
;;;;
"Ngeri! Mereka m…""";;;;
"2022-04-27 00:40:11,""Taufikabd5"",""@Dguzel_ <U+0001F3A4><U+0001F3B5> Galau hanya untuk mengejar tiga periode <U+0001F3B6> buat apa sih janji manis kau sungguhkan untuk rakyat muuu<U+0001F3B6>""";;;;
"2022-04-27 00:36:10,""Budiwastono"",""RT @MardaniAliSera: Semua isu yg sdh masuk ruang publik mesti dibuka. Jk benar berbahaya sekali cara kerja oligarki ini. Saya belum dengar…""";;;;
"2022-04-27 00:27:41,""Ebes89"",""Ini Tiga periode... https://t.co/SMNkA3r1rW""";;;;
